bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1918368,2183,HB4012,2,Engrossed,2025-09-09,"Health: emergency services; emergency medical transport and treatment for retired police canines; provide for. Amends sec. 20925 of 1978 PA 368 (MCL 333.20925).","Health: emergency services; emergency medical transport and treatment for retired police canines; provide for. Amends sec. 20925 of 1978 PA 368 (MCL 333.20925).",4863,"Senate Veterans And Emergency Services",2025-09-11,"Referred To Committee On Veterans And Emergency Services",https://legiscan.com/MI/bill/HB4012/2025,https://legislature.mi.gov/Bills/Bill?ObjectName=2025-HB-4012
1918007,2183,HB4013,2,Engrossed,2025-04-15,"Recreation: other; recreational trespass act; modify posting requirements. Amends sec. 73102 of 1994 PA 451 (MCL 324.73102).","Recreation: other; recreational trespass act; modify posting requirements. Amends sec. 73102 of 1994 PA 451 (MCL 324.73102).",4774,"Senate Natural Resources And Agriculture",2025-04-17,"Referred To Committee On Natural Resources And Agriculture",https://legiscan.com/MI/bill/HB4013/2025,https://legislature.mi.gov/Bills/Bill?ObjectName=2025-HB-4013
1918128,2183,HB4014,2,Engrossed,2025-03-18,"Property tax: assessments; transfer of ownership of certain real property to certain individuals; exempt from uncapping of taxable value upon transfer. Amends sec. 27a of 1893 PA 206 (MCL 211.27a).","Property tax: assessments; transfer of ownership of certain real property to certain individuals; exempt from uncapping of taxable value upon transfer. Amends sec. 27a of 1893 PA 206 (MCL 211.27a).",4717,"Senate Finance, Insurance, And Consumer Protection",2025-03-20,"Referred To Committee On Finance, Insurance, And Consumer Protection",https://legiscan.com/MI/bill/HB4014/2025,https://legislature.mi.gov/Bills/Bill?ObjectName=2025-HB-4014
1918247,2183,HB4015,1,Introduced,2025-01-14,"Highways: other; acceptance of cash payments for tolls; require. Creates new act.","Highways: other; acceptance of cash payments for tolls; require. Creates new act.",2834,"House Transportation And Infrastructure",2025-01-15,"Bill Electronically Reproduced 01/14/2025",https://legiscan.com/MI/bill/HB4015/2025,https://legislature.mi.gov/Bills/Bill?ObjectName=2025-HB-4015
1917948,2183,HB4016,1,Introduced,2025-01-14,"Holidays: other; ""Huntington's Disease Awareness Month""; designate as the month of May of each year. Creates new act.","Holidays: other; ""Huntington's Disease Awareness Month""; designate as the month of May of each year. Creates new act.",899,"House Government Operations",2025-01-15,"Bill Electronically Reproduced 01/14/2025",https://legiscan.com/MI/bill/HB4016/2025,https://legislature.mi.gov/Bills/Bill?ObjectName=2025-HB-4016
1919985,2183,HB4017,2,Engrossed,2025-09-03,"Labor: health and safety; penalty for failure to report a death; decrease by the maximum allowable amount if the death occurs to a certain individual on a family farm. Amends sec. 35 of 1974 PA 154 (MCL 408.1035).","Labor: health and safety; penalty for failure to report a death; decrease by the maximum allowable amount if the death occurs to a certain individual on a family farm. Amends sec. 35 of 1974 PA 154 (MCL 408.1035).",4719,"Senate Labor",2025-09-09,"Referred To Committee On Labor",https://legiscan.com/MI/bill/HB4017/2025,https://legislature.mi.gov/Bills/Bill?ObjectName=2025-HB-4017
1935066,2183,HB4018,2,Engrossed,2025-03-11,"Juveniles: crimes; transportation of juvenile who commits a crime with an adult; clarify. Amends sec. 16 of 1939 PA 288 (MCL 712A.16).","Juveniles: crimes; transportation of juvenile who commits a crime with an adult; clarify. Amends sec. 16 of 1939 PA 288 (MCL 712A.16).",4720,"Senate Civil Rights, Judiciary, And Public Safety",2025-03-13,"Referred To Committee On Civil Rights, Judiciary, And Public Safety",https://legiscan.com/MI/bill/HB4018/2025,https://legislature.mi.gov/Bills/Bill?ObjectName=2025-HB-4018
1934796,2183,HB4019,1,Introduced,2025-01-22,"Individual income tax: reporting; annual revenue report to individual income tax filers; require. Amends 1967 PA 281 (MCL 206.1 - 206.847) by adding sec. 471a.","Individual income tax: reporting; annual revenue report to individual income tax filers; require. Amends 1967 PA 281 (MCL 206.1 - 206.847) by adding sec. 471a.",5003,"House Finance",2025-01-23,"Bill Electronically Reproduced 01/22/2025",https://legiscan.com/MI/bill/HB4019/2025,https://legislature.mi.gov/Bills/Bill?ObjectName=2025-HB-4019
1934534,2183,HB4020,1,Introduced,2025-01-22,"Education: curriculum; requirement for schools to provide instruction on African-American history; provide for, and create the commission to update African-American history in K to 12 instruction. Amends 1976 PA 451 (MCL 380.1 - 380.1852) by adding sec. 1164.","Education: curriculum; requirement for schools to provide instruction on African-American history; provide for, and create the commission to update African-American history in K to 12 instruction. Amends 1976 PA 451 (MCL 380.1 - 380.1852) by adding sec. 1164.",5044,"House Education And Workforce",2025-01-23,"Bill Electronically Reproduced 01/22/2025",https://legiscan.com/MI/bill/HB4020/2025,https://legislature.mi.gov/Bills/Bill?ObjectName=2025-HB-4020
1944004,2183,HB4021,1,Introduced,2025-01-28,"Civil procedure: evictions; pretrial and trial; require pretrial, and allow trial and pretrial to be conducted by magistrate. Amends secs. 5735 & 8511 of 1961 PA 236 (MCL 600.5735 & 600.8511).","Civil procedure: evictions; pretrial and trial; require pretrial, and allow trial and pretrial to be conducted by magistrate. Amends secs. 5735 & 8511 of 1961 PA 236 (MCL 600.5735 & 600.8511).",5081,"House Rules",2025-03-18,"Referred To Committee On Rules",https://legiscan.com/MI/bill/HB4021/2025,https://legislature.mi.gov/Bills/Bill?ObjectName=2025-HB-4021
1944179,2183,HB4022,1,Introduced,2025-01-28,"Local government: other; educational instruction access act; repeal. Repeals 2017 PA 98 (MCL 123.1041 - 123.1047).","Local government: other; educational instruction access act; repeal. Repeals 2017 PA 98 (MCL 123.1041 - 123.1047).",5044,"House Education And Workforce",2025-01-29,"Bill Electronically Reproduced 01/28/2025",https://legiscan.com/MI/bill/HB4022/2025,https://legislature.mi.gov/Bills/Bill?ObjectName=2025-HB-4022
1944049,2183,HB4023,2,Engrossed,2025-06-05,"Property: conveyance of state property; transfer of certain state-owned property in Eaton County; provide for. Creates land transfer act.","Property: conveyance of state property; transfer of certain state-owned property in Eaton County; provide for. Creates land transfer act.",3189,"Senate Local Government",2025-06-10,"Referred To Committee On Local Government",https://legiscan.com/MI/bill/HB4023/2025,https://legislature.mi.gov/Bills/Bill?ObjectName=2025-HB-4023
1943962,2183,HB4024,2,Engrossed,2025-09-04,"Civil rights: privacy; restriction of student access to certain restrooms and changing areas based on biological sex; provide for. Creates new act.","Civil rights: privacy; restriction of student access to certain restrooms and changing areas based on biological sex; provide for. Creates new act.",838,"Senate Government Operations",2025-09-09,"Referred To Committee On Government Operations",https://legiscan.com/MI/bill/HB4024/2025,https://legislature.mi.gov/Bills/Bill?ObjectName=2025-HB-4024
1944518,2183,HB4025,2,Engrossed,2025-03-13,"Sales tax: exemptions; sunset date on exemption for firearm safety devices; extend. Amends sec. 4ll of 1933 PA 167 (MCL 205.54ll).","Sales tax: exemptions; sunset date on exemption for firearm safety devices; extend. Amends sec. 4ll of 1933 PA 167 (MCL 205.54ll).",4720,"Senate Civil Rights, Judiciary, And Public Safety",2025-03-18,"Referred To Committee On Civil Rights, Judiciary, And Public Safety",https://legiscan.com/MI/bill/HB4025/2025,https://legislature.mi.gov/Bills/Bill?ObjectName=2025-HB-4025
1944477,2183,HB4026,2,Engrossed,2025-03-13,"Use tax: exemptions; sunset date on exemption for firearm safety devices; extend. Amends sec. 4ll of 1937 PA 94 (MCL 205.94ll).","Use tax: exemptions; sunset date on exemption for firearm safety devices; extend. Amends sec. 4ll of 1937 PA 94 (MCL 205.94ll).",4720,"Senate Civil Rights, Judiciary, And Public Safety",2025-03-18,"Referred To Committee On Civil Rights, Judiciary, And Public Safety",https://legiscan.com/MI/bill/HB4026/2025,https://legislature.mi.gov/Bills/Bill?ObjectName=2025-HB-4026
1944392,2183,HB4027,2,Engrossed,2025-04-30,"Land use: zoning and growth management; provision subjecting zoning authority to part 8 of clean and renewable energy and energy waste reduction act; delete. Amends sec. 205 of 2006 PA 110 (MCL 125.3205). TIE BAR WITH: HB 4028'25","Land use: zoning and growth management; provision subjecting zoning authority to part 8 of clean and renewable energy and energy waste reduction act; delete. Amends sec. 205 of 2006 PA 110 (MCL 125.3205). TIE BAR WITH: HB 4028'25",838,"Senate Government Operations",2025-05-06,"Referred To Committee On Government Operations",https://legiscan.com/MI/bill/HB4027/2025,https://legislature.mi.gov/Bills/Bill?ObjectName=2025-HB-4027
1944307,2183,HB4028,2,Engrossed,2025-04-30,"Energy: alternative sources; zoning exemptions for large-scale solar, wind, and energy storage facilities; eliminate. Amends title & sec. 13 of 2008 PA 295 (MCL 460.1013) & repeals pt. 8 of 2008 PA 295 (MCL 460.1221 - 460.1232). TIE BAR WITH: HB 4027'25","Energy: alternative sources; zoning exemptions for large-scale solar, wind, and energy storage facilities; eliminate. Amends title & sec. 13 of 2008 PA 295 (MCL 460.1013) & repeals pt. 8 of 2008 PA 295 (MCL 460.1221 - 460.1232). TIE BAR WITH: HB 4027'25",838,"Senate Government Operations",2025-05-06,"Referred To Committee On Government Operations",https://legiscan.com/MI/bill/HB4028/2025,https://legislature.mi.gov/Bills/Bill?ObjectName=2025-HB-4028
1944349,2183,HB4029,2,Engrossed,2025-04-30,"Natural resources: hunting; posting of rules and regulations by a certain date; require. Amends secs. 40113a & 41103 of 1994 PA 451 (MCL 324.40113a & 324.41103).","Natural resources: hunting; posting of rules and regulations by a certain date; require. Amends secs. 40113a & 41103 of 1994 PA 451 (MCL 324.40113a & 324.41103).",838,"Senate Government Operations",2025-05-06,"Referred To Committee On Government Operations",https://legiscan.com/MI/bill/HB4029/2025,https://legislature.mi.gov/Bills/Bill?ObjectName=2025-HB-4029
1944435,2183,HB4030,1,Introduced,2025-01-28,"Labor: youth employment; parent or legal guardian of a minor being educated at the minor's home; allow to issue a work permit for the minor. Amends sec. 2 of 1978 PA 90 (MCL 409.102).","Labor: youth employment; parent or legal guardian of a minor being educated at the minor's home; allow to issue a work permit for the minor. Amends sec. 2 of 1978 PA 90 (MCL 409.102).",5044,"House Education And Workforce",2025-01-29,"Bill Electronically Reproduced 01/28/2025",https://legiscan.com/MI/bill/HB4030/2025,https://legislature.mi.gov/Bills/Bill?ObjectName=2025-HB-4030
1943877,2183,HB4031,1,Introduced,2025-01-28,"Recreation: athletics and sports; publicly funded individual sports programs that provide separate programs for males and females; require athletes to be scored according to their biological sex. Creates new act.","Recreation: athletics and sports; publicly funded individual sports programs that provide separate programs for males and females; require athletes to be scored according to their biological sex. Creates new act.",5044,"House Education And Workforce",2025-01-29,"Bill Electronically Reproduced 01/28/2025",https://legiscan.com/MI/bill/HB4031/2025,https://legislature.mi.gov/Bills/Bill?ObjectName=2025-HB-4031
1944091,2183,HB4032,2,Engrossed,2025-03-06,"Health occupations: physicians; interstate medical licensure compact; remove sunset. Amends sec. 16189 of 1978 PA 368 (MCL 333.16189).","Health occupations: physicians; interstate medical licensure compact; remove sunset. Amends sec. 16189 of 1978 PA 368 (MCL 333.16189).",839,"Senate Health Policy",2025-03-12,"Referred To Committee On Health Policy",https://legiscan.com/MI/bill/HB4032/2025,https://legislature.mi.gov/Bills/Bill?ObjectName=2025-HB-4032
1944552,2183,HB4033,2,Engrossed,2025-04-23,"Probate: trusts; procedures relating to the administration of unitrusts and income trusts; provide for. Creates new act.","Probate: trusts; procedures relating to the administration of unitrusts and income trusts; provide for. Creates new act.",4720,"Senate Civil Rights, Judiciary, And Public Safety",2025-04-29,"Referred To Committee On Civil Rights, Judiciary, And Public Safety",https://legiscan.com/MI/bill/HB4033/2025,https://legislature.mi.gov/Bills/Bill?ObjectName=2025-HB-4033
1944224,2183,HB4034,2,Engrossed,2025-04-23,"Probate: trusts; uniform statutory rule against perpetuities; revise to reflect limitation of the personal property trust perpetuities act to certain property. Amends secs. 3 & 5 of 1988 PA 418 (MCL 554.73 & 554.75). TIE BAR WITH: HB 4033'25","Probate: trusts; uniform statutory rule against perpetuities; revise to reflect limitation of the personal property trust perpetuities act to certain property. Amends secs. 3 & 5 of 1988 PA 418 (MCL 554.73 & 554.75). TIE BAR WITH: HB 4033'25",4720,"Senate Civil Rights, Judiciary, And Public Safety",2025-04-29,"Referred To Committee On Civil Rights, Judiciary, And Public Safety",https://legiscan.com/MI/bill/HB4034/2025,https://legislature.mi.gov/Bills/Bill?ObjectName=2025-HB-4034
1943920,2183,HB4035,1,Introduced,2025-01-28,"Environmental protection: sewage; violations for sewer overflows; modify. Amends 1994 PA 451 (MCL 324.101 - 324.90106) by adding sec. 3115b.","Environmental protection: sewage; violations for sewer overflows; modify. Amends 1994 PA 451 (MCL 324.101 - 324.90106) by adding sec. 3115b.",5004,"House Natural Resources And Tourism",2025-01-29,"Bill Electronically Reproduced 01/28/2025",https://legiscan.com/MI/bill/HB4035/2025,https://legislature.mi.gov/Bills/Bill?ObjectName=2025-HB-4035
1946006,2183,HB4036,1,Introduced,2025-01-29,"Higher education: education programs; authorization and distance education reciprocal exchange act; remove sunset. Repeals sec. 7 of 2015 PA 45 (MCL 390.1697).","Higher education: education programs; authorization and distance education reciprocal exchange act; remove sunset. Repeals sec. 7 of 2015 PA 45 (MCL 390.1697).",5044,"House Education And Workforce",2025-01-30,"Bill Electronically Reproduced 01/29/2025",https://legiscan.com/MI/bill/HB4036/2025,https://legislature.mi.gov/Bills/Bill?ObjectName=2025-HB-4036
1946420,2183,HB4037,1,Introduced,2025-01-29,"Records: health; health information exchange; establish certain requirements to operate a health data utility. Amends secs. 2501 & 2505 of 1978 PA 368 (MCL 333.2501 & 333.2505) & adds sec. 2508.","Records: health; health information exchange; establish certain requirements to operate a health data utility. Amends secs. 2501 & 2505 of 1978 PA 368 (MCL 333.2501 & 333.2505) & adds sec. 2508.",0,,2025-05-21,"Referred To Second Reading",https://legiscan.com/MI/bill/HB4037/2025,https://legislature.mi.gov/Bills/Bill?ObjectName=2025-HB-4037
1946058,2183,HB4038,1,Introduced,2025-01-29,"Insurance: other; allocation of revenue under the insurance provider assessment act; modify. Amends sec. 13 of 2018 PA 175 (MCL 550.1763). TIE BAR WITH: HB 4037'25","Insurance: other; allocation of revenue under the insurance provider assessment act; modify. Amends sec. 13 of 2018 PA 175 (MCL 550.1763). TIE BAR WITH: HB 4037'25",0,,2025-05-21,"Referred To Second Reading",https://legiscan.com/MI/bill/HB4038/2025,https://legislature.mi.gov/Bills/Bill?ObjectName=2025-HB-4038
1946235,2183,HB4039,1,Introduced,2025-01-29,"Administrative procedure: rules; requirement to eliminate regulations; provide for. Amends sec. 39 of 1969 PA 306 (MCL 24.239).","Administrative procedure: rules; requirement to eliminate regulations; provide for. Amends sec. 39 of 1969 PA 306 (MCL 24.239).",5081,"House Rules",2025-01-30,"Bill Electronically Reproduced 01/29/2025",https://legiscan.com/MI/bill/HB4039/2025,https://legislature.mi.gov/Bills/Bill?ObjectName=2025-HB-4039
1948756,2183,HB4040,1,Introduced,2025-01-30,"Labor: fair employment practices; certain noncompete agreements; prohibit employers from requiring employees to enter into unless certain conditions are met. Amends sec. 4a of 1984 PA 274 (MCL 445.774a).","Labor: fair employment practices; certain noncompete agreements; prohibit employers from requiring employees to enter into unless certain conditions are met. Amends sec. 4a of 1984 PA 274 (MCL 445.774a).",5089,"House Economic Competitiveness",2025-02-04,"Bill Electronically Reproduced 01/30/2025",https://legiscan.com/MI/bill/HB4040/2025,https://legislature.mi.gov/Bills/Bill?ObjectName=2025-HB-4040
1949037,2183,HB4041,1,Introduced,2025-01-30,"Property tax: exemptions; continuation of poverty exemption, without subsequent application, for homeowner who previously established eligibility; provide for in certain circumstances. Amends sec. 7u of 1893 PA 206 (MCL 211.7u).","Property tax: exemptions; continuation of poverty exemption, without subsequent application, for homeowner who previously established eligibility; provide for in certain circumstances. Amends sec. 7u of 1893 PA 206 (MCL 211.7u).",5003,"House Finance",2025-02-04,"Bill Electronically Reproduced 01/30/2025",https://legiscan.com/MI/bill/HB4041/2025,https://legislature.mi.gov/Bills/Bill?ObjectName=2025-HB-4041
1948644,2183,HB4042,1,Introduced,2025-01-30,"Food: service establishments; exemption for certain outdoor event spaces; provide for. Amends sec. 1107 of 2000 PA 92 (MCL 289.1107).","Food: service establishments; exemption for certain outdoor event spaces; provide for. Amends sec. 1107 of 2000 PA 92 (MCL 289.1107).",0,,2025-06-26,"Referred To Second Reading",https://legiscan.com/MI/bill/HB4042/2025,https://legislature.mi.gov/Bills/Bill?ObjectName=2025-HB-4042
1948705,2183,HB4043,1,Introduced,2025-01-30,"Liquor: licenses; providing refrigerator systems to certain licensees; allow. Amends sec. 609 of 1998 PA 58 (MCL 436.1609).","Liquor: licenses; providing refrigerator systems to certain licensees; allow. Amends sec. 609 of 1998 PA 58 (MCL 436.1609).",895,"House Regulatory Reform",2025-02-04,"Bill Electronically Reproduced 01/30/2025",https://legiscan.com/MI/bill/HB4043/2025,https://legislature.mi.gov/Bills/Bill?ObjectName=2025-HB-4043
1948813,2183,HB4044,2,Engrossed,2025-06-11,"State: symbol; wood duck; designate as the official state duck. Creates new act.","State: symbol; wood duck; designate as the official state duck. Creates new act.",0,,2025-08-13,"Rules Suspended For Immediate Consideration",https://legiscan.com/MI/bill/HB4044/2025,https://legislature.mi.gov/Bills/Bill?ObjectName=2025-HB-4044
1948327,2183,HB4045,1,Introduced,2025-01-30,"Civil procedure: civil actions; lawsuits for exercising rights to free expression; provide protections against. Creates new act.","Civil procedure: civil actions; lawsuits for exercising rights to free expression; provide protections against. Creates new act.",0,,2025-04-16,"Referred To Second Reading",https://legiscan.com/MI/bill/HB4045/2025,https://legislature.mi.gov/Bills/Bill?ObjectName=2025-HB-4045
1948929,2183,HB4046,4,Passed,2025-08-19,"Highways: memorial; portion of highway US-31; designate as the ""Trooper James E. Boland Memorial Highway"". Amends 2001 PA 142 (MCL 250.1001 - 250.2092) by adding sec. 11d.","Highways: memorial; portion of highway US-31; designate as the ""Trooper James E. Boland Memorial Highway"". Amends 2001 PA 142 (MCL 250.1001 - 250.2092) by adding sec. 11d.",0,,2025-08-19,"Assigned Pa 8'25 With Immediate Effect",https://legiscan.com/MI/bill/HB4046/2025,https://legislature.mi.gov/Bills/Bill?ObjectName=2025-HB-4046
1948377,2183,HB4047,4,Passed,2025-08-26,"Civil procedure: civil actions; cause of action for media that falsely depicts an individual engaging in sexual conduct; provide for. Creates new act.","Civil procedure: civil actions; cause of action for media that falsely depicts an individual engaging in sexual conduct; provide for. Creates new act.",0,,2025-08-26,"Assigned Pa 11'25 With Immediate Effect",https://legiscan.com/MI/bill/HB4047/2025,https://legislature.mi.gov/Bills/Bill?ObjectName=2025-HB-4047
1948980,2183,HB4048,4,Passed,2025-08-26,"Criminal procedure: sentencing guidelines; guidelines for dissemination of deep fake sexual images; enact. Amends sec. 17b, ch. XVII of 1927 PA 175 (MCL 777.17b). TIE BAR WITH: HB 4047'25","Criminal procedure: sentencing guidelines; guidelines for dissemination of deep fake sexual images; enact. Amends sec. 17b, ch. XVII of 1927 PA 175 (MCL 777.17b). TIE BAR WITH: HB 4047'25",0,,2025-08-26,"Assigned Pa 12'25 With Immediate Effect",https://legiscan.com/MI/bill/HB4048/2025,https://legislature.mi.gov/Bills/Bill?ObjectName=2025-HB-4048
1949090,2183,HB4049,1,Introduced,2025-01-30,"Land use: zoning and growth management; rearing of hen chickens in residential areas; allow. Amends sec. 204 of 2006 PA 110 (MCL 125.3204). TIE BAR WITH: HB 4050'25","Land use: zoning and growth management; rearing of hen chickens in residential areas; allow. Amends sec. 204 of 2006 PA 110 (MCL 125.3204). TIE BAR WITH: HB 4050'25",808,"House Agriculture",2025-02-04,"Bill Electronically Reproduced 01/30/2025",https://legiscan.com/MI/bill/HB4049/2025,https://legislature.mi.gov/Bills/Bill?ObjectName=2025-HB-4049
1948592,2183,HB4050,1,Introduced,2025-01-30,"Agriculture: animals; generally accepted agricultural and management practices for rearing egg-laying hens in residential areas under certain conditions; provide for. Amends sec. 4 of 1981 PA 93 (MCL 286.474). TIE BAR WITH: HB 4049'25","Agriculture: animals; generally accepted agricultural and management practices for rearing egg-laying hens in residential areas under certain conditions; provide for. Amends sec. 4 of 1981 PA 93 (MCL 286.474). TIE BAR WITH: HB 4049'25",808,"House Agriculture",2025-02-04,"Bill Electronically Reproduced 01/30/2025",https://legiscan.com/MI/bill/HB4050/2025,https://legislature.mi.gov/Bills/Bill?ObjectName=2025-HB-4050
1948537,2183,HB4051,1,Introduced,2025-01-30,"Individual income tax: deductions; exclusion of certain gratuities for tipped employees; provide for. Amends sec. 30 of 1967 PA 281 (MCL 206.30).","Individual income tax: deductions; exclusion of certain gratuities for tipped employees; provide for. Amends sec. 30 of 1967 PA 281 (MCL 206.30).",5003,"House Finance",2025-02-04,"Bill Electronically Reproduced 01/30/2025",https://legiscan.com/MI/bill/HB4051/2025,https://legislature.mi.gov/Bills/Bill?ObjectName=2025-HB-4051
1948432,2183,HB4052,2,Engrossed,2025-02-25,"Legislature: legislators; certain nondisclosure agreements entered into by legislators; prohibit. Creates new act. TIE BAR WITH: HB 4053'25","Legislature: legislators; certain nondisclosure agreements entered into by legislators; prohibit. Creates new act. TIE BAR WITH: HB 4053'25",838,"Senate Government Operations",2025-02-27,"Referred To Committee On Government Operations",https://legiscan.com/MI/bill/HB4052/2025,https://legislature.mi.gov/Bills/Bill?ObjectName=2025-HB-4052
1948484,2183,HB4053,2,Engrossed,2025-02-25,"Legislature: legislators; certain nondisclosure agreements entered into by legislators; prohibit. Creates new act. TIE BAR WITH: HB 4053'25","Legislature: legislators; certain nondisclosure agreements entered into by legislators; prohibit. Creates new act. TIE BAR WITH: HB 4053'25",838,"Senate Government Operations",2025-02-27,"Referred To Committee On Government Operations",https://legiscan.com/MI/bill/HB4053/2025,https://legislature.mi.gov/Bills/Bill?ObjectName=2025-HB-4053
1954228,2183,HB4054,1,Introduced,2025-02-04,"State: symbol; monarch butterfly; designate as the official state butterfly. Creates new act.","State: symbol; monarch butterfly; designate as the official state butterfly. Creates new act.",899,"House Government Operations",2025-02-05,"Bill Electronically Reproduced 02/04/2025",https://legiscan.com/MI/bill/HB4054/2025,https://legislature.mi.gov/Bills/Bill?ObjectName=2025-HB-4054
